https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1620691200000,2021-05-11 00:00:00,VET/USDT,0.202804,0.213680,0.195245,0.212850,1760895133,361560555.678079,619288
1620604800000,2021-05-10 00:00:00,VET/USDT,0.234004,0.239876,0.182454,0.202804,2610814261,569801091.386286,860772
1620518400000,2021-05-09 00:00:00,VET/USDT,0.223568,0.237676,0.208141,0.233955,2260151028,505940055.102622,774776
1620432000000,2021-05-08 00:00:00,VET/USDT,0.230560,0.236962,0.218937,0.223548,1986019784,453029546.972332,626974
1620345600000,2021-05-07 00:00:00,VET/USDT,0.215941,0.250877,0.213591,0.230560,4397683272,1039708401.761565,1636695
1620259200000,2021-05-06 00:00:00,VET/USDT,0.207447,0.223895,0.200906,0.215953,3089187627,653898407.730067,1076265
1620172800000,2021-05-05 00:00:00,VET/USDT,0.187676,0.209177,0.186154,0.207370,2260491702,449682977.400428,752364
1620086400000,2021-05-04 00:00:00,VET/USDT,0.211199,0.211725,0.184201,0.187676,2761621327,541412146.152891,985992
1620000000000,2021-05-03 00:00:00,VET/USDT,0.215041,0.222680,0.205962,0.211214,1943676750,418999837.343322,717870
1619913600000,2021-05-02 00:00:00,VET/USDT,0.204699,0.225356,0.197036,0.215069,3314996572,705516609.298967,1161016
1619827200000,2021-05-01 00:00:00,VET/USDT,0.201220,0.208396,0.192000,0.204693,1597885837,318972398.128066,547759
1619740800000,2021-04-30 00:00:00,VET/USDT,0.191477,0.203682,0.186650,0.201192,1601740457,314630779.881128,595042
1619654400000,2021-04-29 00:00:00,VET/USDT,0.198810,0.201109,0.181333,0.191476,1746622690,334589900.274422,660176
1619568000000,2021-04-28 00:00:00,VET/USDT,0.208228,0.215000,0.187305,0.198813,2139844640,428234120.475919,823625
1619481600000,2021-04-27 00:00:00,VET/USDT,0.188554,0.224771,0.185000,0.208150,2628120874,542224675.483180,1038876
1619395200000,2021-04-26 00:00:00,VET/USDT,0.168185,0.198997,0.164463,0.188510,2327166048,431975571.191449,931596
1619308800000,2021-04-25 00:00:00,VET/USDT,0.178477,0.188082,0.154780,0.168245,2277353103,397143204.934225,836980
1619222400000,2021-04-24 00:00:00,VET/USDT,0.201988,0.206133,0.177062,0.178445,2481230173,467798733.627660,935491
1619136000000,2021-04-23 00:00:00,VET/USDT,0.190136,0.206560,0.130000,0.202095,6306292011,1113907131.845638,2301050
1619049600000,2021-04-22 00:00:00,VET/USDT,0.226389,0.235422,0.175974,0.190257,3262341171,694729609.371087,1417294
1618963200000,2021-04-21 00:00:00,VET/USDT,0.251284,0.255544,0.222000,0.226445,2116090271,506980431.879236,951552
1618876800000,2021-04-20 00:00:00,VET/USDT,0.228426,0.266382,0.205666,0.251280,3398136102,807373301.172246,1523687
1618790400000,2021-04-19 00:00:00,VET/USDT,0.254035,0.269000,0.222280,0.228439,3588236704,878493183.488771,1586813
1618704000000,2021-04-18 00:00:00,VET/USDT,0.227163,0.256170,0.156952,0.254002,4845970720,1063342835.311355,1860012
1618617600000,2021-04-17 00:00:00,VET/USDT,0.234946,0.279824,0.215352,0.227124,5433488892,1298070896.878682,2168908
1618531200000,2021-04-16 00:00:00,VET/USDT,0.175805,0.246062,0.159000,0.235106,4973438909,979412940.431101,1701102
1618444800000,2021-04-15 00:00:00,VET/USDT,0.168465,0.189501,0.168200,0.175686,2640223428,480683296.233714,847820
1618358400000,2021-04-14 00:00:00,VET/USDT,0.153622,0.176457,0.153430,0.168439,3822921913,630767684.576451,1180883
1618272000000,2021-04-13 00:00:00,VET/USDT,0.129046,0.159254,0.129002,0.153622,2659001498,381544480.611109,759131
1618185600000,2021-04-12 00:00:00,VET/USDT,0.139676,0.140605,0.127410,0.129045,1652362296,220217546.274630,469881
1618099200000,2021-04-11 00:00:00,VET/USDT,0.141970,0.145400,0.130987,0.139668,1975277710,273620705.969503,588635
1618012800000,2021-04-10 00:00:00,VET/USDT,0.126111,0.147919,0.124912,0.141970,2799897832,389446022.826630,863279
1617926400000,2021-04-09 00:00:00,VET/USDT,0.116650,0.134500,0.116053,0.126106,2359720544,296972875.386956,654523
1617840000000,2021-04-08 00:00:00,VET/USDT,0.106098,0.118302,0.104792,0.116683,1406014809,159805486.651329,406696
1617753600000,2021-04-07 00:00:00,VET/USDT,0.111954,0.121359,0.098613,0.106144,3010939486,330929421.795684,775928
1617667200000,2021-04-06 00:00:00,VET/USDT,0.102443,0.116018,0.100465,0.111947,2444789260,263475799.760498,669987
1617580800000,2021-04-05 00:00:00,VET/USDT,0.092603,0.106980,0.090444,0.102476,2480711621,248701238.244811,619012
1617494400000,2021-04-04 00:00:00,VET/USDT,0.087438,0.093208,0.086527,0.092613,973700743,88454945.252652,257140
1617408000000,2021-04-03 00:00:00,VET/USDT,0.094339,0.097585,0.087340,0.087464,1481868054,138715224.618024,375995
1617321600000,2021-04-02 00:00:00,VET/USDT,0.088220,0.095599,0.086606,0.094339,1544131467,141411718.598545,367908
1617235200000,2021-04-01 00:00:00,VET/USDT,0.087813,0.091764,0.086620,0.088220,1209323796,107962657.626867,318755
1617148800000,2021-03-31 00:00:00,VET/USDT,0.089524,0.090347,0.082093,0.087772,1696671371,147056571.268219,387801
1617062400000,2021-03-30 00:00:00,VET/USDT,0.092112,0.092406,0.088322,0.089524,1262760185,113907396.431535,270686
1616976000000,2021-03-29 00:00:00,VET/USDT,0.090873,0.093600,0.088500,0.092113,1227483262,112363167.750941,299821
1616889600000,2021-03-28 00:00:00,VET/USDT,0.088657,0.094027,0.088125,0.090871,1506752436,137221374.081271,346770
1616803200000,2021-03-27 00:00:00,VET/USDT,0.090033,0.096875,0.088452,0.088680,2228002524,206194934.842364,473999
1616716800000,2021-03-26 00:00:00,VET/USDT,0.080791,0.090816,0.080603,0.090051,1818134052,155436309.221930,380713
1616630400000,2021-03-25 00:00:00,VET/USDT,0.084607,0.086233,0.076012,0.080781,2899179279,235625334.293402,582678
1616544000000,2021-03-24 00:00:00,VET/USDT,0.082858,0.095661,0.080811,0.084611,3501627450,309136493.421086,671224
1616457600000,2021-03-23 00:00:00,VET/USDT,0.088343,0.090867,0.079594,0.082865,2887273335,246846153.443297,624232
1616371200000,2021-03-22 00:00:00,VET/USDT,0.093539,0.098999,0.083772,0.088303,3439875113,322500013.638088,700702
1616284800000,2021-03-21 00:00:00,VET/USDT,0.089561,0.095163,0.087000,0.093538,2882503452,263459097.316441,618971
1616198400000,2021-03-20 00:00:00,VET/USDT,0.080887,0.094207,0.080568,0.089581,3110625012,274894363.980261,604839
1616112000000,2021-03-19 00:00:00,VET/USDT,0.077438,0.086092,0.075311,0.080893,1892954956,155697978.939645,404311
1616025600000,2021-03-18 00:00:00,VET/USDT,0.076757,0.082842,0.076214,0.077435,1995893060,159062465.555970,379586
1615939200000,2021-03-17 00:00:00,VET/USDT,0.074520,0.077830,0.071325,0.076756,2014837309,150581384.485030,415021
1615852800000,2021-03-16 00:00:00,VET/USDT,0.078981,0.083282,0.070000,0.074516,2959731867,225587279.020371,599305
1615766400000,2021-03-15 00:00:00,VET/USDT,0.066058,0.083500,0.065600,0.079009,4450550763,337942967.004085,900892
1615680000000,2021-03-14 00:00:00,VET/USDT,0.067688,0.068833,0.064520,0.066047,1375815021,91638596.227534,276643
1615593600000,2021-03-13 00:00:00,VET/USDT,0.065633,0.070416,0.061800,0.067665,1663085747,110918959.100452,336539
1615507200000,2021-03-12 00:00:00,VET/USDT,0.067446,0.072824,0.063623,0.065604,2737971583,186343869.776514,455136
1615420800000,2021-03-11 00:00:00,VET/USDT,0.061350,0.069970,0.058212,0.067446,2729551766,173844142.700122,459715
1615334400000,2021-03-10 00:00:00,VET/USDT,0.064580,0.065621,0.060268,0.061352,1911626339,120340222.848859,353132
1615248000000,2021-03-09 00:00:00,VET/USDT,0.065346,0.068088,0.062266,0.064576,2245012497,145265356.580971,385273
1615161600000,2021-03-08 00:00:00,VET/USDT,0.056794,0.066443,0.055589,0.065361,3003544827,184064496.712630,509331
1615075200000,2021-03-07 00:00:00,VET/USDT,0.053264,0.060100,0.053227,0.056794,2771829446,158604006.992667,436142
1614988800000,2021-03-06 00:00:00,VET/USDT,0.052068,0.054751,0.049484,0.053275,1434923338,75059276.213298,249439
1614902400000,2021-03-05 00:00:00,VET/USDT,0.050305,0.053552,0.046000,0.052073,1697029698,84855769.611677,279153
1614816000000,2021-03-04 00:00:00,VET/USDT,0.052813,0.055149,0.047065,0.050373,2291628746,117627859.772863,350494
1614729600000,2021-03-03 00:00:00,VET/USDT,0.043858,0.054517,0.043154,0.052823,2137684048,105279220.361684,318226
1614643200000,2021-03-02 00:00:00,VET/USDT,0.045734,0.046627,0.041500,0.043847,1355338568,59802197.581472,186264
1614556800000,2021-03-01 00:00:00,VET/USDT,0.039735,0.045748,0.039399,0.045725,1357422810,58148920.931888,201409
1614470400000,2021-02-28 00:00:00,VET/USDT,0.040772,0.041151,0.036332,0.039744,1365888395,52608610.414905,204554
1614384000000,2021-02-27 00:00:00,VET/USDT,0.039447,0.042604,0.039447,0.040780,1390319159,57645741.801445,203315
1614297600000,2021-02-26 00:00:00,VET/USDT,0.039269,0.042255,0.036408,0.039441,1935978500,76116725.315056,245149
1614211200000,2021-02-25 00:00:00,VET/USDT,0.042751,0.044754,0.038811,0.039279,1701356118,72686252.593030,225503
1614124800000,2021-02-24 00:00:00,VET/USDT,0.042106,0.046521,0.039649,0.042769,1806250258,78705347.471907,292017
1614038400000,2021-02-23 00:00:00,VET/USDT,0.050146,0.050448,0.033993,0.042153,4518047615,187379711.101012,653312
1613952000000,2021-02-22 00:00:00,VET/USDT,0.054866,0.055033,0.039700,0.050151,3074419771,150319488.443925,456986
1613865600000,2021-02-21 00:00:00,VET/USDT,0.053527,0.056448,0.052039,0.054850,1883681770,103522044.045785,314915
1613779200000,2021-02-20 00:00:00,VET/USDT,0.053800,0.060312,0.049508,0.053527,3882736143,219810468.722835,592176
1613692800000,2021-02-19 00:00:00,VET/USDT,0.054591,0.056462,0.050817,0.053786,2224383107,119738474.813760,348580
1613606400000,2021-02-18 00:00:00,VET/USDT,0.051342,0.057503,0.051292,0.054584,2506367498,136972905.037457,356547
1613520000000,2021-02-17 00:00:00,VET/USDT,0.049494,0.054071,0.046101,0.051356,2302521145,116125794.704000,344225
1613433600000,2021-02-16 00:00:00,VET/USDT,0.051142,0.053941,0.047500,0.049477,2280387003,115607817.588607,326096
1613347200000,2021-02-15 00:00:00,VET/USDT,0.052334,0.057600,0.042000,0.051159,4073006955,207108625.601387,555550
1613260800000,2021-02-14 00:00:00,VET/USDT,0.054936,0.059389,0.049030,0.052313,2960399279,158689386.972508,434372
1613174400000,2021-02-13 00:00:00,VET/USDT,0.054663,0.061000,0.049000,0.054911,4299637838,235883584.693013,625270
1613088000000,2021-02-12 00:00:00,VET/USDT,0.042707,0.061150,0.042394,0.054668,6336128218,320992280.186451,845929
