https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1618790400000,2021-04-19 00:00:00,DOT/USDT,37.356,38.735,33.958,34.767,22129685.5,803351200.3932,999864
1618704000000,2021-04-18 00:00:00,DOT/USDT,42.099,42.772,31.176,37.356,48189400.2,1764277946.3043,1921668
1618617600000,2021-04-17 00:00:00,DOT/USDT,41.450,48.539,41.435,42.090,33488005.4,1498246876.3066,1538830
1618531200000,2021-04-16 00:00:00,DOT/USDT,43.495,43.888,40.010,41.451,18525254.5,779085167.8256,862871
1618444800000,2021-04-15 00:00:00,DOT/USDT,42.582,44.500,41.522,43.494,15846396.0,681622646.8585,794426
1618358400000,2021-04-14 00:00:00,DOT/USDT,43.030,44.732,40.026,42.584,20585845.8,876213813.7965,1028585
1618272000000,2021-04-13 00:00:00,DOT/USDT,40.539,43.582,39.909,43.021,14998428.7,626125933.9894,802961
1618185600000,2021-04-12 00:00:00,DOT/USDT,41.411,41.877,39.429,40.539,9371896.6,381651113.5336,540938
1618099200000,2021-04-11 00:00:00,DOT/USDT,41.663,41.998,40.100,41.400,8469809.2,346848333.7474,521623
1618012800000,2021-04-10 00:00:00,DOT/USDT,40.847,42.871,40.011,41.657,11149156.6,463439202.2759,598461
1617926400000,2021-04-09 00:00:00,DOT/USDT,41.365,42.168,40.136,40.847,8688716.3,357201608.3792,483922
1617840000000,2021-04-08 00:00:00,DOT/USDT,39.575,41.666,39.272,41.372,11017036.4,447643005.8013,627106
1617753600000,2021-04-07 00:00:00,DOT/USDT,43.404,43.578,37.651,39.571,22515789.6,905803896.4191,1040769
1617667200000,2021-04-06 00:00:00,DOT/USDT,45.923,46.471,41.681,43.400,17487479.8,767831963.5694,821508
1617580800000,2021-04-05 00:00:00,DOT/USDT,44.374,46.008,41.859,45.930,16534010.9,724614152.6099,784210
1617494400000,2021-04-04 00:00:00,DOT/USDT,41.430,45.164,40.739,44.372,16594721.6,725619306.9936,800231
1617408000000,2021-04-03 00:00:00,DOT/USDT,41.135,46.899,41.047,41.421,35312275.3,1559351930.7071,1499851
1617321600000,2021-04-02 00:00:00,DOT/USDT,37.514,41.507,36.660,41.135,17315062.5,675418121.1251,864700
1617235200000,2021-04-01 00:00:00,DOT/USDT,37.122,39.086,36.111,37.511,15231237.5,573606464.1868,786052
1617148800000,2021-03-31 00:00:00,DOT/USDT,34.046,38.366,33.240,37.122,23952931.8,861031283.8949,953515
1617062400000,2021-03-30 00:00:00,DOT/USDT,34.391,34.900,33.554,34.039,8716009.4,297637383.9883,417315
1616976000000,2021-03-29 00:00:00,DOT/USDT,32.270,34.775,31.792,34.391,11325373.4,382560470.3871,514053
1616889600000,2021-03-28 00:00:00,DOT/USDT,32.626,33.284,31.258,32.269,8338671.6,270414267.9210,441705
1616803200000,2021-03-27 00:00:00,DOT/USDT,33.187,33.534,31.158,32.628,12413221.4,402764439.1987,558463
1616716800000,2021-03-26 00:00:00,DOT/USDT,29.807,33.400,29.792,33.195,13493384.0,425868980.3667,593492
1616630400000,2021-03-25 00:00:00,DOT/USDT,30.203,31.275,28.397,29.807,26515392.5,792657170.0555,1046210
1616544000000,2021-03-24 00:00:00,DOT/USDT,34.232,36.165,27.120,30.193,21832780.8,703047647.0000,940073
1616457600000,2021-03-23 00:00:00,DOT/USDT,35.284,36.337,34.046,34.237,10775906.4,379301508.7593,498336
1616371200000,2021-03-22 00:00:00,DOT/USDT,36.727,37.844,35.052,35.278,12373196.3,454724290.5859,577862
1616284800000,2021-03-21 00:00:00,DOT/USDT,37.272,38.151,36.129,36.723,12061765.0,446880197.1701,561254
1616198400000,2021-03-20 00:00:00,DOT/USDT,38.240,40.210,37.190,37.272,15773431.3,618241868.1377,690802
1616112000000,2021-03-19 00:00:00,DOT/USDT,35.388,38.960,34.643,38.252,17582921.3,658006304.1849,763552
1616025600000,2021-03-18 00:00:00,DOT/USDT,36.153,37.072,35.335,35.386,10298064.1,373680901.6839,461720
1615939200000,2021-03-17 00:00:00,DOT/USDT,35.440,36.480,34.418,36.154,12297926.3,436957538.2636,566115
1615852800000,2021-03-16 00:00:00,DOT/USDT,34.321,35.583,32.010,35.440,15057332.1,512699578.0230,675391
